Rol;Card;Uptime (y,m);error_code;affectation;Fail month;User Impacted;TTR (mins);Restauration (Auto/Manual);Module
BRAS; 0/3/CPU0;1:01; Software;YES;Febrero;200;Not Available;Manual;A9K-MOD160-SE
BRAS; 0/6/CPU0;0:11;Expected Behaviour;YES;Abril;4439;Not Available;Manual;A9K-MOD160-SE
VPN; 0/3/CPU0;2:08; Hardware;YES;Agosto;227;16;Manual;A9K-MOD80-SE
BRAS; 0/0/CPU0;1:01; Hardware;YES;Agosto;2666;329;Manual;A9K-MOD80-SE
BRAS; 0/3/CPU0;0:12; Transient;NO;Enero;0;0;Auto;A9K-MOD160-SE
BRAS; 0/4/CPU0;0:00; Transient;NO;Enero;0;0;Auto;"	A9K-1X100GE-TR"
SEC; 0/3/CPU0;2:09; Parity Error;NO;Febrero;0;0;Auto;CRS-FP140
BRAS;NA;0:10; Transient;NO;Marzo;0;0;NA;A9K-1X100GE-TR
BRAS;NA;1:00; Transient;NO;Marzo;0;0;NA;A9K-MOD160-SE
BRAS; 0/2/CPU0;0:10; Transient;NO;Marzo;0;0;Auto;A9K-MOD160-SE
BRAS; 0/2/CPU0;0:03; Transient;NO;Junio;0;0;Auto;A9K-MOD160-SE
BRAS; 0/RSP1/CPU0;1:00; Transient;NO;Junio;0;0;Auto;A9K-MOD160-SE
VPN;NA;0:03; Transient;NO;Agosto;0;0;NA;A9K-1X100GE-SE
REG; 0/RP1/CPU0;0:05; Transient;NO;Agosto;0;0;Auto;CRS-8-PRP-12G
SEC; 0/0/CPU0;1:09; Transient;NO;Agosto;0;0;Auto;CRS-LSP400G
BRAS; 0/6/CPU0;1:00; Transient;NO;Mayo;0;0;Auto;A9K-MOD160-SE
SEC; 0/3/CPU0;0:01; Parity Error;NO;Julio;0;0;Auto;CRS-FP140
BRAS; 0/RSP0/CPU0;0:01; Transient;NO;Julio;0;0;Auto;A9K-VSM-500
BRAS; 0/RSP0/CPU0;0:01; Transient;NO;Julio;0;0;Auto;A9K-VSM-500
BRAS; 0/2/CPU0;0:11; Transient;NO;Agosto;0;0;Auto;A9K-MOD80-SE
