MARCA,MODELO,UBICACIÓN GENERAL,PROPIEDAD DE SCJ,CUBIERTO GARANTIA CISCO,FIN VENTAS,FIN SOPORTE,ACTUALIZAR
CISCO,C3750X,CARCEL DISTRITAL,,NO,30/10/2016,31/10/2021,NO
CISCO,C3750X,CARCEL DISTRITAL,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3550,CARCEL DISTRITAL,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
3COM,SuperStack 4200,CARCEL DISTRITAL,,NO,No Aplica,No Aplica,SI
3COM,SuperStack 4200,CARCEL DISTRITAL,,NO,No Aplica,No Aplica,SI
3COM,BASELINE 2016,CIUDAD JARDIN,,NO,No Aplica,No Aplica,SI
CISCO,NA,ENGATIVÁ,,NA,NA,NA,NA
CISCO,SG250-26,BARRIOS UNIDOS,DUEÑO DE CASA,NA,02/08/2018,31/08/2023,NO
CISCO,SG250-26,BARRIOS UNIDOS,DUEÑO DE CASA,NA,02/08/2018,31/08/2023,NO
CISCO,C2950G,UPJ,NO,NO,31/12/2006,31/12/2011,SI
CISCO,C2950G,UPJ,NO,NO,NO ANUNCIADO,NO ANUNCIADO,NO
,,SANTA FÉ,,,,,
,,SANTA FÉ,,,,,
TBD,TDB,CHAPINERO,,,,,
ALLIED TELESYN,AT-8026,,,NO,No Aplica,No Aplica,SI
3COM,BASELINE 2016,,,NO,No Aplica,No Aplica,SI
CISCO,C2960,KENNEDY,,NO,31/10/2014,31/10/2019,NO
CISCO,C3750X,KENNEDY,,NO,30/10/2016,31/10/2021,NO
3COM,baseline 3024,GUARDADO,,NO,No Aplica,No Aplica,SI
3COM,baseline 3024,GUARDADO,,NO,No Aplica,No Aplica,SI
DLINK SMARTHPRO,DGS-1500-82,GUARDADO,,NO,No Aplica,No Aplica,SI
3com,baseline 3024,GUARDADO,,NO,No Aplica,No Aplica,SI
CISCO,C3560,PONTEVEDRA,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3548,PONTEVEDRA,,NO,27/07/2002,27/07/2007,SI
CISCO,C2960G,BOSA,,NO,31/07/2012,31/07/2017,SI
CISCO,C2960G,USME,,NO,31/07/2012,31/07/2017,SI
CISCO,C3750X,CIUDAD BOLIVAR,,NO,30/10/2016,31/10/2021,NO
CISCO,C2960,FONTIBÓN,,NO,31/10/2014,31/10/2019,NO
CISCO,C2960,USAQUÉN,,NO,31/10/2014,31/10/2019,NO
CISCO,C2960G,MÁRTIRES,,NO,31/07/2012,31/07/2017,SI
CISCO,C3750X,SAN CRISTOBAL,,EN GARANTIA,30/10/2016,31/10/2021,NO
CISCO,C3750X,CALLE 26,,NO,30/10/2016,31/10/2021,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
HP,1920-24G,CALLE 26,,NO,No Aplica,No Aplica,SI
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3750X,GUARDADO,,NO,30/10/2016,31/10/2021,NO
CISCO,C4500X,CALLE 26,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C4500X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3750X,CALLE 26,,NO,30/10/2016,31/10/2021,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,EN RACK,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
HP,1920,CALLE 26,,NO,No Aplica,No Aplica,SI
CISCO,C3750X,CALLE 26,,NO,30/10/2016,31/10/2021,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
HP,1920,CALLE 26,,NO,No Aplica,No Aplica,SI
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,CALLE 26,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
HP,1920,CALLE 26,,NO,No Aplica,No Aplica,SI
CISCO,C3650,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3650,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3850,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C3850,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,C4,,EN GARANTIA,NO ANUNCIADO,NO ANUNCIADO,NO
CISCO,C2960X,EN RACK,,NO,NO ANUNCIADO,NO ANUNCIADO,NO
